"Alugado","Atribuido","Descricao","fabricante","Fornecedor","NumSerie","Patrimonio","Tipo"
"não","não","MOTOROLA EDGE 20 PRO - XT2153-1","MOTOROLA","","UA4HSA299W","","CELULAR"
"não","não","MOTOROLA EDGE 20 PRO - XT2153-1","MOTOROLA","","UA4HSA2C6G","","CELULAR"
"não","não","MOTOROLA EDGE 20 PRO - XT2153-1","MOTOROLA","","UA6HSN25FM","","CELULAR"
"sim","não","NOTEBOOK HP 240 G7","HP","AP Networks","BRJ041D8C4","032367","NOTEBOOK"
"sim","não","Notebook hp G8","HP","AP Networks","BRJ2290B7N","036095","NOTEBOOK"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-3AJL-A01","","MONITOR"
"não","não","Celular SAMSUNG GALAXY S20 FE SM- G781B/DS","SAMSUNG","","RXCTA07L4SL","IMEI: 350456243073178 / 350456243073178","CELULAR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-276-39GB","","MONITOR"
"não","não","Celular Moto G8 Power Lite XT2055-2","MOTOROLA","","ZF5232LHLB","","CELULAR"
"não","não","Celular Motorola Moto G10 XT2127-1","MOTOROLA","","ZF523DQDNC","352617326181513 / 352617326181521","CELULAR"
"sim","não","Notebook HP G8 250","HP","AP Networks","BRJ23415RF","LE2246","NOTEBOOK"
"sim","não","Notebook G8 250","HP","AP Networks","BRJ23415S0","LE2245","NOTEBOOK"
"sim","não","Notebook HP G8 250","HP","AP Networks","BRJ23415KW","LE2244","NOTEBOOK"
"sim","não","Notebook HP G8 250","HP","AP Networks","BRJ23415WP","LE2243","NOTEBOOK"
"não","não","Notebook Dell XPS 13","DELL","","DDQ37V3","","NOTEBOOK"
"não","não","Celular SAMSUNG Galaxy S21 FE","SAMSUNG",""," RQCT802HLRB","351331721342222/351331721342224","CELULAR"
"não","não","Celular SAMSUNG Galaxy S21 FE","SAMSUNG","","RQCT802HCRH","351331721339582/351331721339584","CELULAR"
"não","não","Celular Motorola Moto G20","MOTOROLA","","ZF523NRTGK","355463475223617/355463475223625","CELULAR"
"sim","não","Notebook Dell Latitude 3410","DELL","Selbetti","7GYSF73","75WJ","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3410","DELL","Selbetti","DLYSF73","40WK","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3410","DELL","Selbetti","5KY5F73","46WK","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3490","DELL","Selbetti","9DPQFV2","NBT4","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3490","DELL","Selbetti","NBT8","NBT8","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3490","DELL","Selbetti","NBT7","NB17","NOTEBOOK"
"sim","não","Notebook Dell latitude 3490","DELL","Selbetti","1N8J5V2","NBT6","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3490","DELL","Selbetti","JMKY2T2","NBT5","NOTEBOOK"
"não","não","Notebook Dell Latitude 5480","DELL","","1X11XQ2","","NOTEBOOK"
"não","não","Celular Samsung Galaxy S20 FE SM-G781B/DS","SAMSUNG","","RQCTA00XR7X","IMEI: 350320122078196 IMEI 2: 351504832078196","CELULAR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-0L3L","CQ23ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-26O-53OB","9M53ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-0MML","CS93ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-0LUL-A01","CQJ3ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-0M3L-A01","CVZ3ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-271-2REB","2M54ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-29RL-A01","5VR3ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-256L-A01","5D23ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-26EL-A01","5FZ3ZM3","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-274-237L-A01","45S3ZM3","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-26F-146B-A20","FV0BZL3","MONITOR"
"sim","não","Notebook Dell Latitude 5490","DELL","Selbetti","9P054W2","SELB - PGD8","NOTEBOOK"
"sim","não","Notebook Dell Latitude 5490","DELL","Selbetti","9NZ64W2","SELB - PGD9","NOTEBOOK"
"não","não","Notebook Dell Inspiron 14 - 7460","DELL","","BW5YFM2","","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","BR-0DF3YF-70713-66P-07RL","","MONITOR"
"não","não","Notebook Dell XPS 13 - 9320","DELL","","FDQ37V3","","NOTEBOOK"
"não","não","Monitor Dell P2018H","DELL","","BR-00CPG1-TVB00-1AG-1KAU-A13","","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","BR-0VW2GP-TVB00-271-2REB-A01","","MONITOR"
"não","não","Celular Motorola Moto Edge 30 Pro","MOTOROLA","","79500344","","CELULAR"
"não","não","Celular Motorola Moto G8","MOTOROLA","","ZF52345PQV","","CELULAR"
"sim","não","Notebook HP G6 240","HP","AP Networks","BRJ848ZX1C","031140","NOTEBOOK"
"não","não","Celular Motorola Moto G20","MOTOROLA","","ZF523NRQJ7","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","CN-03GTCV-72872-3BF-C5RL-A00","","MONITOR"
"sim","não","Notebook Hp G8 240","HP","AP Networks","BRJ229090Z","036065","NOTEBOOK"
"sim","não","Notebook Dell Latitude 5490","DELL","Selbetti","1FFGYR2","NBS8","NOTEBOOK"
"sim","não","Notebook Hp G7 240","HP","AP Networks","BRJ111J6SG","033630","NOTEBOOK"
"não","não","Celular Motorola Moto G8 XT2045-1","MOTOROLA","","359111102615657 / 359111102615665","","CELULAR"
"sim","não","Notebook HP G6 240","HP","Manatech","BRJ840X3DR","MNT-163","NOTEBOOK"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-21E-00PB-A19","","MONITOR"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ2514JB7","LE2839","NOTEBOOK"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ2514JGK","LE2763","NOTEBOOK"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ23414V7","LE2761","NOTEBOOK"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ23414R1","LE2813","NOTEBOOK"
"não","não","Celular Samsung S21 FE","SAMSUNG","","351331721107799","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG","","351331721107484","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG","","351331721111569","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG","","351331721107435","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG",""," 351331721107815","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG",""," 351331721107047","","CELULAR"
"não","não","Celular Samsung S21 FE","SAMSUNG",""," 351331721113532","","CELULAR"
"não","não","Celular Motorola Moto Edge 30 PRO","MOTOROLA","","353725681784992","","CELULAR"
"não","não","Monitor Dell S2421HN","DELL","","BR-0H59W1-TVB00-291-0FUL","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","CN-02PWVC-TV100-23D-1BFB-A19","","MONITOR"
"sim","não","Notebook Dell Latitude 5490","DELL","Selbetti","9NN54W2","PTM1","NOTEBOOK"
"sim","não","Notebook Dell Latitude 3410","DELL","Selbetti","GB0XC73","SELB-37WL","NOTEBOOK"
"não","não","Iphone 6s 128gb","APPLE","","FK1QL0QMGRYH","","CELULAR"
"não","não","Celular Iphone 6s 32Gb","APPLE","","DV6WG1LRHFLR","","CELULAR"
"não","não","Celular Motorola Moto Edge 30 Pro","MOTOROLA","","0079500344","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-BCA-10JL-A06","000281","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0LTF68-TVB00-85M-080L-A06","","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0KTF68-TVB00-BCA-1FGL-A06","","MONITOR"
"não","não","Monitor Dell P2222H","DELL","","45S3ZM3","","MONITOR"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ23414QT","LE2812","NOTEBOOK"
"sim","não","Notebook Hp G8 250","HP","AP Networks","BRJ23414TW","LE2760","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ23415AZ","LE3652","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234158Q","LE3655","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234156N","LE3651","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ2341563","LE3640","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234156R","LE3644","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ2341570","LE3643","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234155Q","LE3657","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ2341553","LE3653","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234158B","LE3654","NOTEBOOK"
"sim","não","Notebook Hp G8 250 16gb","HP","AP Networks","BRJ234157W","LE3656","NOTEBOOK"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32R-2FIL-A01","1HLMQK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32R-2E7L-A01","1GHNQK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32R-2ELL-A01","000939","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-OVW2GP-TVB00-32R-2FJL-A01","1HQNQK3","MONITOR"
"não","não","Motorola Edge 20 lite","MOTOROLA","","0077792172","","CELULAR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32H-401B-A01","9C9MQK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32H-406B-A01","8Y4PQK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32H-18SB-A01","JPRMQK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-OVW2GP-TVB00-32H-1VMB-A01","HRGNK3","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0H59W1-TVB00-346-225L-A00","3DZSGR3","MONITOR"
"não","não","Celular Samsung S20FE","SAMSUNG","","350456243073178","","CELULAR"
"não","não","Celular Motorola Edge 20 PRO","MOTOROLA","","353725681755570","","CELULAR"
"não","não","Celular Motorola Edge 20 PRO","MOTOROLA","","353725681789439","","CELULAR"
"não","não","Monitor Dell P1917S","DELL","","BR-0DF3YF-70713-66P-060L","","MONITOR"
"não","não","Monitor Dell P2222h","DELL","","BR-0VW2GP-TVB00-32R-24VL-A01","","MONITOR"
"não","não","Celular Samsung S21 FE","SAMSUNG","","RQCT701LQXF","","CELULAR"
"não","não","Monitor Dell P2222Ht","DELL","","BR-0VW2GP-TVB00-32R-2EJL-A01","000959","MONITOR"
"não","não","Monitor Dell P1917S","DELL","","BR-0DF3YF-70713-67J-2KRL-A00","","MONITOR"
"não","não","Monitor Samsung F22T350FH","SAMSUNG","","Y4SHHX5T303223K","","MONITOR"
"sim","não","Notebook Dell Latitude 5490 (Selbetti)","DELL","Selbetti","9NC14W2","SELB-PTM3","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ23415RP","LE3589","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ23415S9","LE3588","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ23415H2","LE3578","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ23415R2","LE3586","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ2514JF9","LE2880","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ23415GN","LE3579","NOTEBOOK"
"sim","não","Notebook Hp 250 G8","HP","AP Networks","BRJ2514HZY","LE2879","NOTEBOOK"
